id,firstName,lastName,handle,dob,country,gender
1,"Nathan","Haney","Skills",1987-08-28,"United States","M"
2,"Sarah","Haney","Outta",1985-08-25,"United States","F"
3,"Daigo","Umahara","The Beast",1990-03-25,"Japan","M"
4,"Justin","Wong","Da Man",1991-04-14,"United States","M"
5,"Yim","Lei","Princess",1987-06-06,"China","F"
6,"Huda","Aladdin","That Movie",1987-07-06,"Arabia","F"
7,"Jonathan","Wood","Woody",1987-05-04,"United States","M"
8,"Andy","Warren","Annie",1985-05-23,"United States","M"
9,"Chris","Hall","Topher",1989-11-27,"United States","M"
10,"Vanisha","Patel","VFT",1987-10-2,"India","F"
11,"Jessica","Poluca","Poot",1970-09-14,"Korea","F"
12,"Broderick","Gilbert","Brody",1979-06-06,"Africa","M"
13,"Christina","Applegate","Actress",1981-05-23,"United States","F"
14,"Lisa","Smelldell","Smelly",1950-09-10,"United States","F"
15,"Yana","Goosins","Sweety",1983-04-06,"Japan","F"
16,"Deborah","Bonner","Debbie",1958-10-02,"United States","F"
