111,John Smith,USA,1990-02-23,male,Sneaky
222,Jane Addams,USA,1992-01-15,female,imaqtpie
333,Abagail Aldman,USA,1995-04-04,female,DoubleLift
444,Samuel Posh,UK,1993-06-22,male,Godyr
555,Adam Savage,USA,1990-01-05,male,Dusk
666,Chi Lin Won,South Korea,1991-05-14,female,Piglet
777,Phillip MacAfee,Ireland,1995-12-03,male,Heavy Weapons Guy
888,Felipe Iglesias,Brazil,1998-11-11,male,Mordekaiser
999,Ingrid Delmois,Scotland,1991-05-21,female,Braver
1111,Elodie Demarches,France,1993-04-06,female,Luna
2222,Heins Richtofen,Germany,1990-08-19,male,Doktor
3333,David Johnson,USA,1994-02-23,male,DantheMan
4444,Ashley Hart,USA,1990-03-13,female,Sylveon
5555,Christina Bailey,USA,1995-12-04,female,JesusChristina
6666,Shinji Ikamura,Japan,1992-04-11,male,Kaiju
7777,Ichigo Urameshi,Japan,1992-05-01,male,otaku
8888,Shi Min Hao,South Korea,1993-03-03,male,Hai
9999,Sim Lon,South Korea,1991-02-22,male,Soul
