1 Eve Jacobson easyE 1985-08-05 United States F
2 Adam Lawson A-Dawg 1989-09-08 Canada M
3 Timmy Traylor Boss 1990-10-23 Germany M
4 Koharu Fujiwara ninja 1993-03-09 Japan F
5 Tomoe Ajibana TheWolf 1989-07-07 Japan M
6 Ian Zimmer TheBEAST 1997-11-11 Australia M
7 Mei Wang TheBeauty 1998-03-30 China F
8 Jack Hashimoto SamuraiJack 1981-01-08 Japan M
9 Emily Swan EmiTheGrudge 1987-07-29 United States F
10 Bai Ma DaMaster 1988-08-21 China M
11 Martina White SouthernBelle 1989-12-02 United States F
12 Danny Austin DanTheMan 1985-05-09 United States M
13 Airi Kitano AK47 1986-04-07 Japan F
14 John Osbourne PrinceOfDarkness 1984-12-03 United States M
15 Katrina Romanov Kitty 1990-02-14 Russia F
16 Raj Jain RJ 1987-01-10 India M
17 Bria Jones QueenB 1991-11-25 Canada F
18 Kai Watanabe Pyro 1991-06-07 Japan M
