playerid,playername,teamid,gender,handle,DOB,country
1,karishma,1,F,munni,1993-02-15,india
2,ramya,1,F,bubbly,1992-02-21,newzealand
3,pavani,1,F,munni,1991-02-24,sweden
4,hari,2,M,bubbli,1991-02-23,usa
5,charan,2,M,chintu,1993-02-03,newzealand
6,swapna,2,F,buddy,1993-02-21,sweden
7,vikas,3,M,bibby,1992-02-12,usa
8,vivek,3,M,bubbly,1990-02-21,india
9,charan,3,F,naina,1990-05-02,india
10,karishma,4,F,telly,1990-02-21,newzealand
11,anand,4,M,vanny,1991-02-21,india
12,mayuri,4,F,vannu,1990-02-02,newzealand
13,vivan,5,M,tany,1992-03-28,india
14,repali,5,F,tanu,1991-02-01,sweden
15,rohan,5,M,kikky,1994-01-17,sweden
16,reshma,6,M,bujji,1990-12-12,usa
17,sethan,6,M,kanna,1992-12-23,sweden
18,sandeep,6,M,munni,1990-02-21,india
19,sandy,7,F,maggy,1992-07-07,newzealand
20,meghana,7,F,sanddy,1993-01-01,pakistan
21,mokshanya,7,M,telly,1991-02-03,germany
22,meghana,8,F,tanny,1990-02-03,sweden
23,mayuri,8,F,wagu,1990-02-12,germany
24,visanth,8,M,elnnn,1993-02-04,sweden
